eventid,nhostkid,nhours,ndays,hostkidoutcome_txt,nreleased
200003040007,2.0,,1.0,Hostage(s) released by perpetrators,2.0
200003050004,2.0,,,,
200003140004,34.0,,1.0,Successful Rescue,34.0
200003160002,,,,,
200003160003,1.0,,1.0,Hostage(s) killed (not during rescue attempt),0.0
200003180001,329.0,,1.0,Combination,
200003200002,1.0,,,,
200003200003,,,,Combination,39.0
200003230002,2.0,,3.0,Hostage(s) released by perpetrators,
200004030007,23.0,,,,
200004070003,40.0,3.0,,Hostage(s) released by perpetrators,40.0
200004090004,2.0,,,,
200004090005,1.0,,,,
200004090006,1.0,,,,
200004090007,1.0,,,,
200004090008,1.0,,,,
200004100003,1.0,,,,
200004120007,1.0,,4.0,Successful Rescue,1.0
200004140002,2.0,,,,
200004140003,19.0,,,,
200004180001,3.0,,,Combination,1.0
200004240001,22.0,,138.0,Hostage(s) released by perpetrators,22.0
200004240003,1.0,,,,
200005010003,500.0,,27.0,Combination,496.0
200005030011,70.0,,,,
200005070005,15.0,,,,
200005140002,4.0,,,Combination,3.0
200005240005,4.0,,,,
200005270005,2.0,,,,
200005270006,2.0,6.0,,Hostage(s) released by perpetrators,2.0
200005270007,1.0,,1.0,Hostage(s) killed (not during rescue attempt),0.0
200006010002,4.0,,4.0,Hostage(s) released by perpetrators,4.0
200006020012,1.0,,,,
200006020013,1.0,,,,
200006020014,10.0,,,Hostage(s) released by perpetrators,10.0
200006030006,10.0,,43.0,Hostage(s) escaped (not during rescue attempt),10.0
200006040010,8.0,,,,
200006050003,21.0,,23.0,Hostage(s) released by perpetrators,21.0
200006050005,9.0,,,,
200006060011,1.0,,,Hostage(s) released by perpetrators,1.0
200006160004,1.0,,34.0,Hostage(s) released by perpetrators,1.0
200006180003,24.0,,,Combination,6.0
200006190001,1.0,,,,
200006200004,1.0,,,,
200006230005,1.0,10.0,,Hostage(s) released by perpetrators,1.0
200007020006,1.0,,21.0,Hostage(s) released by perpetrators,1.0
200007030003,1.0,,,,
200007070001,2.0,,,,
200007090005,3.0,,71.0,Combination,3.0
200007090006,4.0,,,,
200007100004,2.0,,,Hostage(s) killed (not during rescue attempt),
200007110003,5.0,,,,
200007130002,4.0,1.0,,Hostage(s) killed (not during rescue attempt),0.0
200007180005,14.0,,8.0,Combination,12.0
200007200005,4.0,,,Combination,2.0
200007220001,4.0,,,,
200007230003,1.0,,,Hostage(s) killed (not during rescue attempt),
200007260004,2.0,,,,
200007270002,1.0,,,,
200007270005,200.0,,,,
200007290002,,,,,
200007290003,5.0,,,,
200007300006,4.0,,75.0,Combination,4.0
200007310003,165.0,,5.0,Hostage(s) released by perpetrators,165.0
200008090003,7.0,,,,
200008110001,27.0,,1.0,Hostage(s) released by perpetrators,27.0
200008110002,2.0,,,Hostage(s) killed (not during rescue attempt),2.0
200008120003,5.0,,6.0,Hostage(s) escaped (not during rescue attempt),4.0
200008120004,12.0,,,Hostage(s) released by perpetrators,12.0
200008160002,25.0,,,Combination,
200008250002,12.0,,16.0,Combination,12.0
200008250003,12.0,,,,
200008280001,1.0,,228.0,Successful Rescue,1.0
200009020002,7.0,,,,
200009060007,1.0,,6.0,Hostage(s) released by perpetrators,1.0
200009060008,2.0,,90.0,Hostage(s) escaped (not during rescue attempt),2.0
200009070006,3.0,,4.0,Hostage(s) released by perpetrators,3.0
200009100004,2.0,1.0,,Hostage(s) released by perpetrators,2.0
200009110002,3.0,,15.0,Hostage(s) released by perpetrators,3.0
200009120008,13.0,,1.0,Hostage(s) released by perpetrators,13.0
200009130007,2.0,,8.0,Hostage(s) released by perpetrators,2.0
200009140003,1.0,,,,
200009140004,144.0,3.0,,Successful Rescue,144.0
200009170001,1.0,,,,
200009170002,1.0,,,,
200009170004,1.0,,,,
200009170005,50.0,,,,25.0
200009220001,1.0,,,,
200009240002,17.0,,,,
200009250008,11.0,,,,
200009250011,1.0,,,,
200009260002,7.0,,,,
200009260004,4.0,1.0,,Hostage(s) escaped (not during rescue attempt),4.0
200009260005,3.0,1.0,,Hostage(s) escaped (not during rescue attempt),3.0
200009270009,2.0,1.0,,Successful Rescue,1.0
200010010001,1.0,,,,
200010010002,10.0,,,,
200010060001,2.0,,3.0,Hostage(s) released by perpetrators,2.0
200010110001,2.0,,,,
200010120002,10.0,,,,
200010120005,11.0,,1.0,Hostage(s) killed (not during rescue attempt),0.0
200010140002,105.0,,,Successful Rescue,105.0
200010140004,2.0,,,,
200010190004,1.0,,,,
200010210008,1.0,,,,
200010220002,1.0,3.0,,Hostage(s) released by perpetrators,1.0
200010240005,,,,,
200010240008,,,,,
200010240009,,,,,
200010280001,1.0,,67.0,Hostage(s) killed (not during rescue attempt),0.0
200010290003,4.0,,1.0,Combination,4.0
200011010005,7.0,,6.0,Hostage(s) released by perpetrators,7.0
200011020001,22.0,7.0,,Hostage(s) released by perpetrators,22.0
200011020003,25.0,,2.0,Successful Rescue,25.0
200011050009,1.0,2.0,,Hostage(s) killed (not during rescue attempt),
200011130007,,,,,
200011140005,,,,,
200011140007,1.0,,,,
200011190004,7.0,,,Combination,3.0
200011220012,1.0,,,,
200011240004,6.0,,,Combination,1.0
200011250010,1.0,,,,
200011280001,1.0,,,,
200011280008,1.0,,95.0,Hostage(s) released by perpetrators,1.0
200011300002,1.0,,,,
200011300004,2.0,,373.0,Successful Rescue,2.0
200012030001,2.0,,,Combination,1.0
200012060001,4.0,,,Combination,1.0
200012060007,15.0,18.0,,Hostage(s) released by perpetrators,15.0
200012100002,2.0,,3.0,Hostage(s) released by perpetrators,2.0
200012120002,1.0,,,,
200012170001,46.0,,,,
200012190004,2.0,,269.0,Hostage(s) released by perpetrators,2.0
200012310008,6.0,,1.0,Hostage(s) released by perpetrators,6.0
200101010002,24.0,,,Combination,17.0
200101070001,28.0,,,Hostage(s) killed (not during rescue attempt),0.0
200101070004,7.0,,,,
200101070009,2.0,,,,
200101090001,1.0,,25.0,Hostage(s) released by perpetrators,1.0
200101090006,56.0,,1.0,Successful Rescue,56.0
200101100002,1.0,,24.0,Successful Rescue,1.0
200101110004,1.0,,16.0,Hostage(s) released by perpetrators,1.0
200101160002,16.0,,23.0,Hostage(s) released by perpetrators,16.0
200101170001,7.0,,,,
200101170003,1.0,,1.0,Successful Rescue,1.0
200101170004,4.0,,3.0,Successful Rescue,4.0
200101180001,6.0,,,Hostage(s) killed (not during rescue attempt),0.0
200101230001,91.0,,,Hostage(s) escaped (not during rescue attempt),91.0
200101230003,2.0,,,Hostage(s) killed (not during rescue attempt),0.0
200101230008,1.0,,120.0,Hostage(s) killed (not during rescue attempt),0.0
200102010004,,,,,
200102050004,1.0,,,,
200102060001,1.0,,,,
200102060002,12.0,,,Combination,7.0
200102120006,36.0,,,Combination,24.0
200102160001,3.0,,,,
200102220004,2.0,1.0,,Hostage(s) released by perpetrators,2.0
200102220008,2.0,,,Combination,
200102230003,9.0,,,Combination,8.0
200102240002,7.0,,,,
200102270006,40.0,,,,
200103030006,10.0,,,Combination,
200103070005,9.0,5.0,0.0,Hostage(s) released by perpetrators,9.0
200103080007,4.0,,,,
200103090002,6.0,,,,
200103120006,2.0,,,Hostage(s) killed (not during rescue attempt),0.0
200103160004,174.0,22.0,,Combination,172.0
200103160006,2.0,,,,
200103180001,1.0,,,,
200103190002,1.0,,,,
200103210002,2.0,,,,
200103230001,10.0,,,,
200103240009,30.0,,,,
200103250002,5.0,,,Hostage(s) killed (not during rescue attempt),0.0
