eventid,gname
201410110012,Islamic State of Iraq and the Levant (ISIL)
201410110014,Al-Qaida in the Arabian Peninsula (AQAP)
201410110015,Ansar al-Sharia (Libya)
201410110016,Ansar al-Sharia (Libya)
201410110019,Al-Shabaab
201410110020,Al-Shabaab
201410110058,Islamic State of Iraq and the Levant (ISIL)
201410110067,Al-Zintan Revolutionaries' Military Council
201410110068,Adivasi National Liberation Army (ANLA)
201410110069,Yazidi extremists
201410110070,Taliban
201410110071,Taliban
201410110073,Kurdistan Workers' Party (PKK)
201410110076,Taliban
201410110079,Islamic State of Iraq and the Levant (ISIL)
201410110081,Fulani extremists
201410110082,Fulani extremists
201410110083,Fulani extremists
201410110084,Fulani extremists
201410110085,Fulani extremists
201410110087,Taliban
201410110089,Democratic Karen Buddhist Army (DKBA)
201410120001,Al-Shabaab
201410120002,Al-Shabaab
201410120010,Islamic State of Iraq and the Levant (ISIL)
201410120011,Houthi extremists (Ansar Allah)
201410120012,Houthi extremists (Ansar Allah)
201410120013,Taliban
201410120014,Taliban
201410120025,Separatists
201410120026,Separatists
201410120027,Separatists
201410120028,Separatists
201410120029,Separatists
201410120030,Separatists
201410120039,Uighur Separatists
201410120050,Al-Shabaab
201410120051,Taliban
201410120053,Islamic State of Iraq and the Levant (ISIL)
201410120054,Islamic State of Iraq and the Levant (ISIL)
201410120055,Islamic State of Iraq and the Levant (ISIL)
201410120057,Dissident Republicans
201410120062,Taliban
201410120063,Taliban
201410120065,Maoists
201410120068,Democratic Front of the Central African People (FDPC)
201410120078,Mapuche Ancestral Resistance (RAM)
201410130001,Al-Shabaab
201410130003,Al-Naqshabandiya Army
201410130020,Islamic State of Iraq and the Levant (ISIL)
201410130030,National Liberation Army of Colombia (ELN)
201410130030,Popular Liberation Army (EPL)
201410130033,United Baloch Army (UBA)
201410130036,Taliban
201410130037,Taliban
201410130038,Islamic State of Iraq and the Levant (ISIL)
201410130040,Taliban
201410130041,Taliban
201410130047,Islamic State of Iraq and the Levant (ISIL)
201410130048,Islamic State of Iraq and the Levant (ISIL)
201410130053,Taliban
201410130054,Al-Shabaab
201410130060,Taliban
201410130061,Janjaweed
201410140001,Ansar Bayt al-Maqdis (Ansar Jerusalem)
201410140002,Ajnad Misr
201410140003,Islamic State of Iraq and the Levant (ISIL)
201410140004,Al-Naqshabandiya Army
201410140004,Islamic State of Iraq and the Levant (ISIL)
201410140006,Houthi extremists (Ansar Allah)
201410140007,Taliban
201410140014,Muslim extremists
201410140017,Seleka
201410140025,Taliban
201410140026,Taliban
201410140036,Donetsk People's Republic
201410140044,Donetsk People's Republic
201410140046,Israeli settlers
201410140048,Pro-Russia Militia
201410140049,The New Irish Republican Army
201410140050,Abu Sayyaf Group (ASG)
201410140060,Islamic State of Iraq and the Levant (ISIL)
201410140061,Islamic State of Iraq and the Levant (ISIL)
201410140062,Taliban
201410140065,Boko Haram
201410140073,Fulani extremists
201410150003,Islamic State of Iraq and the Levant (ISIL)
201410150006,Al-Shabaab
201410150010,Islamic State of Iraq and the Levant (ISIL)
201410150011,Islamic State of Iraq and the Levant (ISIL)
201410150012,Islamic State of Iraq and the Levant (ISIL)
201410150013,Islamic State of Iraq and the Levant (ISIL)
201410150016,Ansar al-Sharia (Libya)
201410150019,Revolutionary Armed Forces of Colombia (FARC)
201410150021,Allied Democratic Forces (ADF)
201410150022,Allied Democratic Forces (ADF)
201410150036,Anti-Balaka Militia
201410150037,Lashkar-e-Islam (Pakistan)
201410150040,Al-Shabaab
201410150048,Haftar Militia
201410150054,Libya Revolutionaries Operations Room (LROR)
201410150055,Abu Sayyaf Group (ASG)
201410150060,Al-Shabaab
201410150062,Al-Shabaab
201410150063,New People's Army (NPA)
201410150065,Al-Qaida in the Arabian Peninsula (AQAP)
201410150066,Al-Qaida in the Arabian Peninsula (AQAP)
201410150067,Al-Qaida in the Arabian Peninsula (AQAP)
201410150068,Al-Qaida in the Arabian Peninsula (AQAP)
201410150072,Maoists
201410150073,Maoists
201410150074,Boko Haram
201410160001,Ansar Bayt al-Maqdis (Ansar Jerusalem)
201410160004,Al-Naqshabandiya Army
201410160005,Islamic State of Iraq and the Levant (ISIL)
201410160006,Islamic State of Iraq and the Levant (ISIL)
201410160007,Islamic State of Iraq and the Levant (ISIL)
201410160008,Tribesmen
201410160017,Al-Qaida in the Arabian Peninsula (AQAP)
201410160018,Al-Qaida in the Arabian Peninsula (AQAP)
201410160019,Al-Qaida in the Arabian Peninsula (AQAP)
201410160020,Al-Qaida in the Arabian Peninsula (AQAP)
201410160022,Anti-Balaka Militia
201410160026,Al-Shabaab
201410160027,Baloch Republican Army (BRA)
201410160033,Baloch Liberation Front (BLF)
201410160038,Islamic State of Iraq and the Levant (ISIL)
201410160039,Islamic State of Iraq and the Levant (ISIL)
201410160040,Islamic State of Iraq and the Levant (ISIL)
201410160041,Islamic State of Iraq and the Levant (ISIL)
201410160047,New People's Army (NPA)
201410160049,New People's Army (NPA)
201410160050,Muslim extremists
201410160051,Tribesmen
201410160052,Islamic State of Iraq and the Levant (ISIL)
201410160058,Taliban
201410160059,Taliban
201410170001,Boko Haram
201410170007,Revolutionary Armed Forces of Colombia (FARC)
201410170011,Al-Shabaab
201410170012,February 17 Martyrs Brigade
201410170016,Al-Shabaab
201410170025,Abu Sayyaf Group (ASG)
201410170026,Abu Sayyaf Group (ASG)
201410170041,Allied Democratic Forces (ADF)
201410170042,Islamic State of Iraq and the Levant (ISIL)
201410170043,Boko Haram
201410170050,Kurdistan Workers' Party (PKK)
201410180002,Al-Qaida in the Arabian Peninsula (AQAP)
201410180010,Al-Shabaab
201410180032,Taliban
201410180038,Taliban
201410180043,Houthi extremists (Ansar Allah)
201410180044,Islamic State of Iraq and the Levant (ISIL)
201410180046,Sindhudesh Revolutionary Army (SRA)
201410180048,Communist Party of India - Maoist (CPI-Maoist)
201410180049,Janjaweed
201410180051,Allied Democratic Forces (ADF)
201410180053,Allied Democratic Forces (ADF)
201410180054,Islamic Youth Shura Council
201410180055,Boko Haram
201410180056,Boko Haram
201410180057,Boko Haram
201410180058,Boko Haram
201410190002,Al-Shabaab
201410190003,Houthi extremists (Ansar Allah)
201410190005,Boko Haram
201410190014,United Baloch Army (UBA)
201410190028,Islamic State of Iraq and the Levant (ISIL)
201410190029,Islamic State of Iraq and the Levant (ISIL)
201410190030,Islamic State of Iraq and the Levant (ISIL)
201410190033,Islamic State of Iraq and the Levant (ISIL)
201410190034,Muslim extremists
201410190036,Muslim extremists
201410190041,Al-Shabaab
201410190048,Taliban
201410190049,Taliban
201410190065,Taliban
201410190066,Maoists
201410190070,Fulani extremists
201410190071,Boko Haram
201410190072,Fulani extremists
201410190073,Boko Haram
201410190079,Baloch Nationalists
201410200005,Islamic State of Iraq and the Levant (ISIL)
201410200007,Al-Qaida in the Arabian Peninsula (AQAP)
201410200009,Houthi extremists (Ansar Allah)
201410200022,Jihadi-inspired extremists
201410200026,Islamic State of Iraq and the Levant (ISIL)
201410200027,Islamic State of Iraq and the Levant (ISIL)
201410200028,Islamic State of Iraq and the Levant (ISIL)
201410200031,National Liberation Army of Colombia (ELN)
201410200032,Ukrainian nationalists
201410210001,Islamic State of Iraq and the Levant (ISIL)
201410210002,Taliban
201410210012,Islamic State of Iraq and the Levant (ISIL)
201410210013,Seleka
201410210013,Fulani extremists
201410210019,Islamic State of Iraq and the Levant (ISIL)
201410210025,Ansar al-Sharia (Libya)
201410210027,Al-Sawaiq Brigade
201410210027,Al-Qaqa Brigade
201410210028,Al-Qaida in the Arabian Peninsula (AQAP)
201410210029,Al-Qaida in the Arabian Peninsula (AQAP)
201410210030,Al-Qaida in the Arabian Peninsula (AQAP)
201410210034,Taliban
201410210037,Al-Shabaab
201410210038,Al-Shabaab
201410210046,Islamic State of Iraq and the Levant (ISIL)
201410210047,National Democratic Front of Bodoland (NDFB)
201410210048,Islamic State of Iraq and the Levant (ISIL)
201410210049,Islamic State of Iraq and the Levant (ISIL)
201410210051,Maoists
201410210052,Maoists
201410210055,Fulani extremists
201410210056,Fulani extremists
201410210058,Boko Haram
201410210061,Anti-Balaka Militia
201410210061,Seleka
201410220002,Ajnad Misr
201410220026,Islamic State of Iraq and the Levant (ISIL)
201410220031,Misrata Brigades
201410220037,Tehrik-i-Taliban Pakistan (TTP)
201410220038,Taliban
201410220044,Jihadi-inspired extremists
201410220045,Hamas (Islamic Resistance Movement)
201410220047,National Democratic Front of Bodoland (NDFB)
201410220049,Islamic State of Iraq and the Levant (ISIL)
201410220050,Islamic State of Iraq and the Levant (ISIL)
201410220051,Al-Qaida in the Arabian Peninsula (AQAP)
201410220058,Revolutionary Armed Forces of Colombia (FARC)
201410220059,Taliban
201410220060,Maoists
201410220061,Maoists
201410220064,Kurdistan Workers' Party (PKK)
201410220065,Boko Haram
201410220066,Boko Haram
201410220074,Fulani extremists
201410220074,Seleka
201410230006,Lashkar-e-Jhangvi
201410230006,Lashkar-e-Balochistan
201410230006,Baloch Liberation Army (BLA)
201410230016,Islamic State of Iraq and the Levant (ISIL)
201410230022,Muslim extremists
201410230025,Taliban
201410230029,Bangsamoro Islamic Freedom Movement (BIFM)
201410230030,Bangsamoro Islamic Freedom Movement (BIFM)
201410230035,Islamic State of Iraq and the Levant (ISIL)
201410230037,Taliban
201410230045,Karbi People's Liberation Tigers (KPLT)
201410230047,Jihadi-inspired extremists
201410230049,Taliban
201410230050,Taliban
201410230053,Anti-Balaka Militia
201410230055,The New Irish Republican Army
201410230063,Boko Haram
201410240004,Tribesmen
201410240005,Jundallah (Pakistan)
201410240006,Lashkar-e-Jhangvi
201410240014,Islamic State of Iraq and the Levant (ISIL)
201410240015,Islamic State of Iraq and the Levant (ISIL)
201410240016,Islamic State of Iraq and the Levant (ISIL)
201410240017,Islamic State of Iraq and the Levant (ISIL)
201410240021,Islamic State of Iraq and the Levant (ISIL)
201410240027,National Democratic Front of Bodoland (NDFB)
201410240031,Kurdistan Workers' Party (PKK)
201410240032,Islamic State of Iraq and the Levant (ISIL)
201410240033,Islamic State of Iraq and the Levant (ISIL)
201410240034,Islamic State of Iraq and the Levant (ISIL)
201410240036,Taliban
201410240041,Taliban
201410240042,New People's Army (NPA)
201410240045,Taliban
201410240054,Taliban
201410240055,Taliban
201410240056,Taliban
201410240058,Taliban
201410240059,Taliban
201410240066,Democratic Front of the Central African People (FDPC)
201410240067,Democratic Front of the Central African People (FDPC)
201410240068,Boko Haram
201410240070,Democratic Front of the Central African People (FDPC)
201410240071,Anti-Muslim extremists
201410250004,Taliban
201410250009,Islamic State of Iraq and the Levant (ISIL)
201410250018,Islamic State of Iraq and the Levant (ISIL)
201410250025,Al-Shabaab
201410250038,Islamic State of Iraq and the Levant (ISIL)
201410250043,Zeliangrong United Front
201410250044,Democratic Front of the Central African People (FDPC)
201410250124,Islamic State of Iraq and the Levant (ISIL)
201410260004,Boko Haram
201410260005,Houthi extremists (Ansar Allah)
201410260007,Al-Shabaab
201410260008,Al-Shabaab
201410260009,Al-Shabaab
201410260011,Taliban
201410260012,Taliban
201410260013,Taliban
201410260016,Al-Shabaab
201410260023,Islamic State of Iraq and the Levant (ISIL)
201410260039,Zawiya Martyrs Brigade
201410260041,Kurdistan Workers' Party (PKK)
201410260047,Islamic State of Iraq and the Levant (ISIL)
201410260048,Kurdistan Workers' Party (PKK)
201410260055,Islamic State of Iraq and the Levant (ISIL)
201410270006,Baloch Liberation Front (BLF)
201410270009,Islamic State of Iraq and the Levant (ISIL)
201410270013,Islamic State of Iraq and the Levant (ISIL)
201410270023,Islamic State of Iraq and the Levant (ISIL)
201410270024,Islamic State of Iraq and the Levant (ISIL)
201410270025,Islamic State of Iraq and the Levant (ISIL)
201410270026,Islamic State of Iraq and the Levant (ISIL)
201410270027,Islamic State of Iraq and the Levant (ISIL)
201410270028,Islamic State of Iraq and the Levant (ISIL)
201410270029,Islamic State of Iraq and the Levant (ISIL)
201410270030,Islamic State of Iraq and the Levant (ISIL)
201410270031,Islamic State of Iraq and the Levant (ISIL)
201410270031,Al-Nusrah Front
201410270033,Al-Nusrah Front
201410270035,Taliban
201410270036,Lashkar-e-Islam (Pakistan)
201410270047,Kurdistan Workers' Party (PKK)
201410270057,Taliban
201410270073,Boko Haram
201410270075,Fulani extremists
201410270076,Fulani extremists
201410270077,Fulani extremists
201410280002,Houthi extremists (Ansar Allah)
201410280012,Military Council of the Tribal Revolutionaries (MCTR)
201410280024,Tehrik-e-Khilafat
201410280027,New People's Army (NPA)
201410280029,Islamic State of Iraq and the Levant (ISIL)
201410280033,Kosovo Liberation Army (KLA)
201410280034,Garo National Liberation Army
201410290007,Houthi extremists (Ansar Allah)
201410290008,Houthi extremists (Ansar Allah)
201410290020,Islamic State of Iraq and the Levant (ISIL)
201410290021,Islamic State of Iraq and the Levant (ISIL)
201410290022,Islamic State of Iraq and the Levant (ISIL)
201410290025,Islamic State of Iraq and the Levant (ISIL)
201410290041,Islamic State of Iraq and the Levant (ISIL)
201410290043,Islamic State of Iraq and the Levant (ISIL)
201410290046,Al-Shabaab
201410290047,Palestinian Islamic Jihad (PIJ)
201410290055,Islamic State of Iraq and the Levant (ISIL)
201410290059,Taliban
201410290068,Boko Haram
201410290069,Boko Haram
201410290070,Muslim extremists
201410300014,Al-Shabaab
201410300015,Al-Shabaab
201410300028,Tehrik-e-Khilafat
201410300032,Taliban
201410300033,Taliban
201410300035,Islamic State of Iraq and the Levant (ISIL)
201410300036,Maoists
201410300040,Luhansk People's Republic
201410300041,Allied Democratic Forces (ADF)
201410300042,Al-Qaida in the Arabian Peninsula (AQAP)
201410300044,Boko Haram
201410310014,Al-Shabaab
201410310018,Islamic State of Iraq and the Levant (ISIL)
201410310019,Islamic State of Iraq and the Levant (ISIL)
201410310020,Islamic State of Iraq and the Levant (ISIL)
201410310027,Islamic State of Iraq and the Levant (ISIL)
201410310028,Islamic State of Iraq and the Levant (ISIL)
201410310030,Tehrik-e-Khilafat
201410310031,Tehrik-e-Khilafat
201410310037,Taliban
201410310039,Shura Council of Benghazi Revolutionaries
201410310051,Separatists
201410310061,Revolutionary Armed Forces of Colombia (FARC)
201410310062,Revolutionary Armed Forces of Colombia (FARC)
201410310063,Boko Haram
201410310070,Islamic State of Iraq and the Levant (ISIL)
201411010002,Houthi extremists (Ansar Allah)
201411010008,Islamic State of Iraq and the Levant (ISIL)
201411010010,Islamic State of Iraq and the Levant (ISIL)
201411010013,Tehrik-i-Taliban Pakistan (TTP)
201411010022,Taliban
201411010024,Al-Shabaab
201411010035,Baloch Republican Army (BRA)
201411010046,Taliban
201411010047,Taliban
201411010048,Allied Democratic Forces (ADF)
201411010062,Fulani extremists
201411010065,Boko Haram
201411020003,Al-Shabaab
201411020005,Mombasa Republican Council (MRC)
201411020006,Jamaat-ul-Ahrar
201411020006,Tehrik-i-Taliban Pakistan (TTP)
201411020006,Jundallah (Pakistan)
201411020010,Taliban
201411020012,Taliban
201411020014,Al-Shabaab
201411020018,Taliban
201411020019,Taliban
201411020021,Dissident Republicans
201411020022,Separatists
201411020036,Islamic State of Iraq and the Levant (ISIL)
201411020037,Islamic State of Iraq and the Levant (ISIL)
201411020040,Islamic State of Iraq and the Levant (ISIL)
201411020044,Fulani extremists
201411020045,Fulani extremists
201411020046,Fulani extremists
201411020047,Fulani extremists
201411020048,Fulani extremists
201411020049,Fulani extremists
201411020050,Fulani extremists
201411020051,Fulani extremists
201411020052,Fulani extremists
201411020053,Fulani extremists
201411020054,Fulani extremists
201411020055,Fulani extremists
201411020056,Fulani extremists
201411020057,Fulani extremists
201411020058,Fulani extremists
201411020059,Fulani extremists
201411020060,Fulani extremists
201411020062,Boko Haram
201411020069,Fulani extremists
201411030009,People's Liberation Front of India
201411030011,Islamic State of Iraq and the Levant (ISIL)
201411030012,Muslim extremists
201411030013,Taliban
201411030014,United National Liberation Front (UNLF)
201411030025,Islamic State of Iraq and the Levant (ISIL)
201411030026,Al-Shabaab
201411030027,Al-Shabaab
201411030033,Islamic State of Iraq and the Levant (ISIL)
201411030041,Islamic State of Iraq and the Levant (ISIL)
201411030042,Islamic State of Iraq and the Levant (ISIL)
201411030043,Boko Haram
201411040002,Al-Shabaab
201411040003,Ansar al-Sharia (Libya)
201411040005,Barqa Province of the Islamic State
201411040009,Revolutionary Armed Forces of Colombia (FARC)
201411040016,Mai Mai Bakata Katanga Militia
201411040026,Islamic State of Iraq and the Levant (ISIL)
201411040043,Islamic State of Iraq and the Levant (ISIL)
201411040045,Islamic State of Iraq and the Levant (ISIL)
201411040055,Boko Haram
201411040056,Boko Haram
201411040057,Boko Haram
201411040058,Boko Haram
201411040059,Boko Haram
201411040060,Boko Haram
201411040061,Boko Haram
201411040062,Taliban
201411040084,Mai Mai Bakata Katanga Militia
201411040085,Revolutionary Armed Forces of Colombia (FARC)
201411040087,Anti-Muslim extremists
201411050002,Al-Shabaab
201411050007,Tuareg extremists
201411050008,Muslim extremists
201411050009,Muslim extremists
201411050011,Hamas (Islamic Resistance Movement)
201411050015,Revolutionary Armed Forces of Colombia (FARC)
201411050016,Revolutionary Armed Forces of Colombia (FARC)
201411050023,Houthi extremists (Ansar Allah)
201411050024,Houthi extremists (Ansar Allah)
201411050029,Donetsk People's Republic
201411050030,Donetsk People's Republic
201411050039,Seleka
201411050041,Islamic State of Iraq and the Levant (ISIL)
201411050044,Revolutionary Armed Forces of Colombia (FARC)
201411050048,Boko Haram
201411050054,Al-Shabaab
201411050055,Taliban
201411050056,Maoists
201411050059,Garo National Liberation Army
201411050060,Moro Islamic Liberation Front (MILF)
201411050061,Maoists
201411060001,Muslim extremists
201411060002,Bangsamoro Islamic Freedom Movement (BIFM)
201411060004,Baloch Nationalists
201411060006,Revolutionary Armed Forces of Colombia (FARC)
201411060008,Tribesmen
201411060034,Islamic State of Iraq and the Levant (ISIL)
201411060040,Boko Haram
201411060049,Anarchist Anti-Capitalist Action Group
201411060050,Al-Nusrah Front
201411060051,Al-Nusrah Front
201411060052,Al-Nusrah Front
201411060072,Maoists
201411070001,Jamaat-ul-Ahrar
201411070002,Jamaat-ul-Ahrar
201411070003,New People's Army (NPA)
201411070004,Taliban
201411070005,Al-Shabaab
201411070006,Baloch Nationalists
201411070007,Islamic State of Iraq and the Levant (ISIL)
201411070008,Islamic State of Iraq and the Levant (ISIL)
201411070008,Al-Naqshabandiya Army
201411070016,Boko Haram
201411070018,Baloch Nationalists
201411070020,Houthi extremists (Ansar Allah)
201411070021,Houthi extremists (Ansar Allah)
201411070022,Houthi extremists (Ansar Allah)
201411070026,Muslim extremists
201411070028,Taliban
201411070036,Hamas (Islamic Resistance Movement)
201411070037,Hamas (Islamic Resistance Movement)
201411070038,Hamas (Islamic Resistance Movement)
201411070050,Hamas (Islamic Resistance Movement)
201411070051,Hamas (Islamic Resistance Movement)
201411070052,Hamas (Islamic Resistance Movement)
201411070053,Hamas (Islamic Resistance Movement)
201411070054,Hamas (Islamic Resistance Movement)
201411070055,Hamas (Islamic Resistance Movement)
201411080001,Taliban
201411080015,Military Council of the Tribal Revolutionaries (MCTR)
201411080015,Islamic State of Iraq and the Levant (ISIL)
201411080016,Islamic State of Iraq and the Levant (ISIL)
201411080017,Islamic State of Iraq and the Levant (ISIL)
201411080018,Islamic State of Iraq and the Levant (ISIL)
201411080018,Al-Naqshabandiya Army
201411080027,Boko Haram
201411080028,Fulani extremists
201411080029,Fulani extremists
201411080033,Al-Shabaab
201411080035,Al-Shabaab
201411080038,Al-Shabaab
201411080045,Al-Qaida in the Arabian Peninsula (AQAP)
201411080047,Taliban
201411080068,Janjaweed
201411080078,Islamic State of Iraq and the Levant (ISIL)
201411090001,Taliban
201411090006,Baloch Liberation Front (BLF)
201411090018,Islamic State of Iraq and the Levant (ISIL)
201411090019,Islamic State of Iraq and the Levant (ISIL)
201411090020,Islamic State of Iraq and the Levant (ISIL)
201411090021,Abu Sayyaf Group (ASG)
201411090022,Abu Sayyaf Group (ASG)
201411090026,Boko Haram
201411090027,Boko Haram
201411090028,Boko Haram
201411090029,Boko Haram
201411090030,Boko Haram
201411090031,Boko Haram
201411090032,Islamic State of Iraq and the Levant (ISIL)
201411090033,Al-Shabaab
201411090034,Al-Shabaab
201411090037,Houthi extremists (Ansar Allah)
201411090039,Al-Nusrah Front
201411090071,Kharkiv Partisans
201411090089,Islamic State of Iraq and the Levant (ISIL)
201411090090,Islamic State of Iraq and the Levant (ISIL)
201411090091,Islamic State of Iraq and the Levant (ISIL)
201411090092,Islamic State of Iraq and the Levant (ISIL)
201411090093,Islamic State of Iraq and the Levant (ISIL)
201411090094,Islamic State of Iraq and the Levant (ISIL)
201411090095,Islamic State of Iraq and the Levant (ISIL)
201411090096,Islamic State of Iraq and the Levant (ISIL)
201411090097,Islamic State of Iraq and the Levant (ISIL)
201411090098,Islamic State of Iraq and the Levant (ISIL)
201411090099,Islamic State of Iraq and the Levant (ISIL)
201411090100,Islamic State of Iraq and the Levant (ISIL)
201411090101,Islamic State of Iraq and the Levant (ISIL)
201411090102,Islamic State of Iraq and the Levant (ISIL)
201411090103,Islamic State of Iraq and the Levant (ISIL)
201411090111,Donetsk People's Republic
201411100001,Taliban
201411100002,Taliban
201411100004,Tehrik-e-Khilafat
201411100005,Tehrik-e-Khilafat
201411100013,Separatists
201411100014,Boko Haram
201411100028,Palestinian Islamic Jihad (PIJ)
201411100037,Taliban
201411100112,Al-Shabaab
201411100114,Muslim extremists
201411110003,United Baloch Army (UBA)
201411110004,Tehrik-i-Taliban Pakistan (TTP)
201411110005,Sinai Province of the Islamic State
201411110025,Islamic State of Iraq and the Levant (ISIL)
201411110026,Islamic State of Iraq and the Levant (ISIL)
201411110027,Al-Naqshabandiya Army
201411110030,Libya Shield Force
201411110032,Runda Kumpulan Kecil (RKK)
201411110036,Al-Shabaab
201411110037,Al-Shabaab
201411110038,Al-Shabaab
201411110041,Taliban
201411110047,Janjaweed
201411110049,Hamas (Islamic Resistance Movement)
201411110067,Libya Shield Force
201411110068,Libya Shield Force
201411110070,Animal Liberation Front (ALF)
201411120002,Bangsamoro Islamic Freedom Movement (BIFM)
201411120004,Barqa Province of the Islamic State
201411120008,Islamic State of Iraq and the Levant (ISIL)
201411120025,Revolutionary Armed Forces of Colombia (FARC)
201411120026,Revolutionary Armed Forces of Colombia (FARC)
201411120028,Revolutionary Armed Forces of Colombia (FARC)
201411120029,Revolutionary Armed Forces of Colombia (FARC)
201411120030,Abu Sayyaf Group (ASG)
201411120034,New People's Army (NPA)
201411120038,Baloch Liberation Front (BLF)
201411120039,Baloch Republican Army (BRA)
201411120042,Baloch Liberation Front (BLF)
201411120043,Boko Haram
201411120044,Islamic State of Iraq and the Levant (ISIL)
201411120045,Islamic State of Iraq and the Levant (ISIL)
201411120054,Al-Shabaab
201411120055,Al-Shabaab
201411120056,Al-Shabaab
201411120066,Tehrik-i-Taliban Pakistan (TTP)
201411120071,Donetsk People's Republic
201411120073,Taliban
201411120081,Janjaweed
201411120082,Sinai Province of the Islamic State
201411130001,Bangsamoro Islamic Freedom Movement (BIFM)
201411130003,Sinai Province of the Islamic State
201411130005,Haftar Militia
201411130005,Ansar al-Sharia (Libya)
201411130005,Tripoli Province of the Islamic State
201411130006,Ansar al-Sharia (Libya)
201411130006,Tripoli Province of the Islamic State
201411130006,Haftar Militia
201411130018,Taliban
201411130022,Muslim extremists
201411130036,Boko Haram
201411130037,Boko Haram
201411130065,Houthi extremists (Ansar Allah)
201411130069,National Socialist Council of Nagaland-Isak-Muivah (NSCN-IM)
201411130094,Taliban
201411130095,Communist Party of India - Maoist (CPI-Maoist)
201411140003,Bangsamoro Islamic Freedom Movement (BIFM)
201411140004,Bangsamoro Islamic Freedom Movement (BIFM)
201411140005,Bangsamoro Islamic Freedom Movement (BIFM)
201411140016,Islamic State of Iraq and the Levant (ISIL)
201411140028,Taliban
201411140031,Boko Haram
201411140039,Al-Shabaab
201411140043,Tehrik-e-Khilafat
201411140045,Tehrik-e-Khilafat
201411140067,Houthi extremists (Ansar Allah)
201411140069,Allied Democratic Forces (ADF)
201411140070,Proletarian Assault Group
201411150004,Islamic State of Iraq and the Levant (ISIL)
201411150007,Islamic State of Iraq and the Levant (ISIL)
201411150008,Islamic State of Iraq and the Levant (ISIL)
201411150009,Taliban
201411150012,Muslim extremists
201411150017,Baloch Republican Army (BRA)
201411150017,Baloch Liberation Front (BLF)
201411150024,Separatists
201411150027,Jamaat-ul-Ahrar
201411150029,Lashkar-e-Taiba (LeT)
201411150029,Tehrik-i-Taliban Pakistan (TTP)
201411150030,Al-Qaida in the Indian Subcontinent
201411150030,Ansarullah Bangla Team
201411150031,Lashkar-e-Taiba (LeT)
201411150031,Tehrik-i-Taliban Pakistan (TTP)
201411150032,Tehrik-i-Taliban Pakistan (TTP)
201411150032,Lashkar-e-Taiba (LeT)
201411150033,National Democratic Front-Bicol (NDF-Bicol)
201411150036,New People's Army (NPA)
201411150042,Maoists
201411150047,Muslim extremists
201411150049,Haftar Militia
201411150050,Haftar Militia
201411160001,Bangsamoro Islamic Freedom Movement (BIFM)
201411160004,Taliban
201411160005,New People's Army (NPA)
201411160005,Bangsamoro Islamic Freedom Movement (BIFM)
201411160007,Islamic State of Iraq and the Levant (ISIL)
201411160010,Islamic State of Iraq and the Levant (ISIL)
201411160013,Islamic State of Iraq and the Levant (ISIL)
201411160014,Islamic State of Iraq and the Levant (ISIL)
201411160015,Islamic State of Iraq and the Levant (ISIL)
201411160016,Islamic State of Iraq and the Levant (ISIL)
201411160017,Islamic State of Iraq and the Levant (ISIL)
201411160018,Islamic State of Iraq and the Levant (ISIL)
201411160019,Islamic State of Iraq and the Levant (ISIL)
201411160020,Islamic State of Iraq and the Levant (ISIL)
201411160021,Islamic State of Iraq and the Levant (ISIL)
201411160022,Islamic State of Iraq and the Levant (ISIL)
201411160024,Baloch Republican Army (BRA)
201411160025,Boko Haram
201411160026,Boko Haram
201411160027,Fulani extremists
201411160028,Boko Haram
201411160034,New People's Army (NPA)
201411160036,Muslim extremists
201411160041,Houthi extremists (Ansar Allah)
201411160054,Taliban
201411160059,The New Irish Republican Army
201411160061,Hizbul Mujahideen (HM)
201411160081,Al-Shabaab
201411160082,Luhansk People's Republic
201411160092,Maoists
201411170002,Abu Sayyaf Group (ASG)
201411170009,Boko Haram
201411170014,Al-Shabaab
201411170018,Taliban
201411170019,Taliban
201411170036,Taliban
201411170041,Taliban
201411170046,National Liberation Front of Tripura (NLFT)
201411170068,Allied Democratic Forces (ADF)
201411170075,Misrata Brigades
201411180001,Taliban
201411180002,Taliban
201411180004,Popular Front for the Liberation of Palestine (PFLP)
201411180005,Taliban
201411180008,Al-Shabaab
201411180009,Islamic State of Iraq and the Levant (ISIL)
201411180015,Boko Haram
201411180029,Houthi extremists (Ansar Allah)
201411180031,Jamaat-ul-Ahrar
201411180032,Taliban
201411180033,Taliban
201411180035,Taliban
201411180037,Taliban
201411180041,Taliban
201411180042,Islamic State of Iraq and the Levant (ISIL)
201411180045,New People's Army (NPA)
201411180046,Maoists
201411180050,Luhansk People's Republic
201411180051,Maoists
201411180069,Palestinian Extremists
201411180070,Maoists
201411180071,Bangsamoro Islamic Freedom Movement (BIFM)
201411180072,Bangsamoro Islamic Freedom Movement (BIFM)
201411180074,Muslim extremists
201411190001,Taliban
201411190003,Revolutionary Armed Forces of Colombia (FARC)
201411190006,Islamic State of Iraq and the Levant (ISIL)
201411190017,Houthi extremists (Ansar Allah)
201411190019,Boko Haram
201411190034,Taliban
201411190035,Taliban
201411190038,Movement for Oneness and Jihad in West Africa (MUJAO)
201411190039,Garo National Liberation Army
201411190039,Achik National Cooperative Army (ANCA)
201411190040,Garo National Liberation Army
201411190058,New People's Army (NPA)
201411190059,New People's Army (NPA)
201411190060,Donetsk People's Republic
201411190062,Maoists
