eventid,gname
199807150002,White Legion (Georgia)
199807150002,Forest Brothers
199807150003,Loyalist Volunteer Forces (LVF)
199807150004,Liberation Tigers of Tamil Eelam (LTTE)
199807160002,Animal Liberation Front (ALF)
199807170003,Khmer Rouge
199807170004,Algerian Islamic Extremists
199807170005,Algerian Islamic Extremists
199807190001,Hamas (Islamic Resistance Movement)
199807190003,Corsican National Liberation Front- Historic Channel
199807200002,Corsican National Liberation Front- Historic Channel
199807210002,Hutu extremists
199807210007,National Union for the Total Independence of Angola (UNITA)
199807210008,National Union for the Total Independence of Angola (UNITA)
199807240003,Hezbollah
199807250002,Popular Revolutionary Army (Mexico)
199807260001,Khmer Rouge
199807270001,Anti-Christian extremists
199807270003,Arsonists for Social Cohesion
199807270004,Arsonists for Social Cohesion
199807270005,Arsonists for Social Cohesion
199807270006,Liberation Tigers of Tamil Eelam (LTTE)
199807280001,National Union for the Total Independence of Angola (UNITA)
199807280006,National Liberation Army of Colombia (ELN)
199807290006,Bodo Liberation Tigers (BLT)
199807300001,Hezbollah
199807300003,Revolutionary United Front (RUF)
199807310004,Algerian Islamic Extremists
199808010001,Allied Democratic Forces (ADF)
199808010002,Real Irish Republican Army (RIRA)
199808010003,Kurdistan Workers' Party (PKK)
199808020007,National Liberation Front of Tripura (NLFT)
199808030003,Hizbul Mujahideen (HM)
199808030005,Revolutionary Armed Forces of Colombia (FARC)
199808030006,Revolutionary Armed Forces of Colombia (FARC)
199808030006,National Liberation Army of Colombia (ELN)
199808030008,National Liberation Army of Colombia (ELN)
199808030008,Revolutionary Armed Forces of Colombia (FARC)
199808030009,National Liberation Army of Colombia (ELN)
199808030009,Revolutionary Armed Forces of Colombia (FARC)
199808030010,National Liberation Army of Colombia (ELN)
199808030010,Revolutionary Armed Forces of Colombia (FARC)
199808030011,National Liberation Army of Colombia (ELN)
199808030011,Revolutionary Armed Forces of Colombia (FARC)
199808030012,National Liberation Army of Colombia (ELN)
199808030012,Revolutionary Armed Forces of Colombia (FARC)
199808030013,National Liberation Army of Colombia (ELN)
199808030013,Revolutionary Armed Forces of Colombia (FARC)
199808030014,National Liberation Army of Colombia (ELN)
199808030014,Revolutionary Armed Forces of Colombia (FARC)
199808030015,National Liberation Army of Colombia (ELN)
199808030015,Revolutionary Armed Forces of Colombia (FARC)
199808030016,Revolutionary Armed Forces of Colombia (FARC)
199808030016,National Liberation Army of Colombia (ELN)
199808030017,Revolutionary Armed Forces of Colombia (FARC)
199808030017,National Liberation Army of Colombia (ELN)
199808030018,National Liberation Army of Colombia (ELN)
199808030018,Revolutionary Armed Forces of Colombia (FARC)
199808030019,National Liberation Army of Colombia (ELN)
199808030019,Revolutionary Armed Forces of Colombia (FARC)
199808030020,National Liberation Army of Colombia (ELN)
199808030020,Revolutionary Armed Forces of Colombia (FARC)
199808030021,National Liberation Army of Colombia (ELN)
199808030021,Revolutionary Armed Forces of Colombia (FARC)
199808030022,Revolutionary Armed Forces of Colombia (FARC)
199808030022,National Liberation Army of Colombia (ELN)
199808030023,National Liberation Army of Colombia (ELN)
199808030023,Revolutionary Armed Forces of Colombia (FARC)
199808030024,National Liberation Army of Colombia (ELN)
199808030024,Revolutionary Armed Forces of Colombia (FARC)
199808030025,Revolutionary Armed Forces of Colombia (FARC)
199808030025,National Liberation Army of Colombia (ELN)
199808030026,Revolutionary Armed Forces of Colombia (FARC)
199808030026,National Liberation Army of Colombia (ELN)
199808040005,National Liberation Army of Colombia (ELN)
199808040006,National Liberation Army of Colombia (ELN)
199808040007,National Liberation Army of Colombia (ELN)
199808040008,National Liberation Army of Colombia (ELN)
199808040009,National Liberation Army of Colombia (ELN)
199808040010,National Liberation Army of Colombia (ELN)
199808040013,Revolutionary Armed Forces of Colombia (FARC)
199808040014,Revolutionary Armed Forces of Colombia (FARC)
199808040014,National Liberation Army of Colombia (ELN)
199808040015,National Liberation Army of Colombia (ELN)
199808040016,Revolutionary Armed Forces of Colombia (FARC)
199808040016,National Liberation Army of Colombia (ELN)
199808040017,Revolutionary Armed Forces of Colombia (FARC)
199808040018,Grey Wolves
199808050001,Grey Wolves
199808060002,Grey Wolves
199808070002,Al-Qaida
199808070003,Al-Qaida
199808070004,Grey Wolves
199808090002,National Union for the Total Independence of Angola (UNITA)
199808090003,People's War Group (PWG)
199808100002,National Union for the Total Independence of Angola (UNITA)
199808130001,Khmer Rouge
199808130002,Algerian Islamic Extremists
199808140003,Liberation Tigers of Tamil Eelam (LTTE)
199808150002,Real Irish Republican Army (RIRA)
199808160001,Kurdish Democratic Party-Iraq (KDP)
199808170001,Liberation Tigers of Tamil Eelam (LTTE)
199808190004,Hezbollah
199808200004,Hutu extremists
199808200005,Hutu extremists
199808210005,Anti-Abortion extremists
199808210006,Algerian Islamic Extremists
199808210007,Algerian Islamic Extremists
199808210008,Algerian Islamic Extremists
199808240004,Abu Sayyaf Group (ASG)
199808240005,Banyamulenge rebels
199808240006,Kosovo Liberation Army (KLA)
199808250005,Hezbollah
199808260002,Muslims Against Global Oppression (MAGO)
199809010001,National Union for the Total Independence of Angola (UNITA)
199809030003,Hamas (Islamic Resistance Movement)
199809030003,Hezbollah
199809070001,Abu Sayyaf Group (ASG)
199809080004,Anti-Abortion extremists
199809080005,Anti-Abortion extremists
199809090001,Kurdistan Workers' Party (PKK)
199809090002,Kurdistan Workers' Party (PKK)
199809090003,National Union for the Total Independence of Angola (UNITA)
199809100001,Hezbollah
199809110001,Liberation Tigers of Tamil Eelam (LTTE)
199809110006,Abu Sayyaf Group (ASG)
199809130005,National Union for the Total Independence of Angola (UNITA)
199809130006,Revolutionary Armed Forces of Colombia (FARC)
199809140001,Liberation Tigers of Tamil Eelam (LTTE)
199809170002,National Liberation Army of Colombia (ELN)
199809170004,National Union for the Total Independence of Angola (UNITA)
199809190001,Devrimici Halk Kurtulus Cephesi (DHKP/C)
199809210002,Earth Liberation Front (ELF)
199809210002,Animal Liberation Front (ALF)
199809210003,Earth Liberation Front (ELF)
199809210003,Animal Liberation Front (ALF)
199809250002,Revolutionary Armed Forces of Colombia (FARC)
199809280001,Shining Path (SL)
199809290001,Hamas (Islamic Resistance Movement)
199809300002,Hutu extremists
199810020002,Allied Democratic Forces (ADF)
199810030002,Anti-Abortion extremists
199810030003,Anti-Abortion extremists
199810030004,Wolves of Islam
199810040002,Turkish Communist Party/Marxist (TKP-ML)
199810050001,Hezbollah
199810050002,Abu Nidal Organization (ANO)
199810070002,Revolutionary United Front (RUF)
199810080001,National Liberation Front of Tripura (NLFT)
199810080002,National Union for the Total Independence of Angola (UNITA)
199810080003,National Liberation Front of Tripura (NLFT)
199810080004,Bodo Liberation Tigers (BLT)
199810080005,Naxalites
199810090001,Palestinian Extremists
199810090003,Hezbollah
199810100002,National Democratic Front of Bodoland (NDFB)
199810100003,Kurdistan Workers' Party (PKK)
199810110001,Corsican National Liberation Front (FLNC)
199810110002,Corsican National Liberation Front (FLNC)
199810110003,Corsican National Liberation Front (FLNC)
199810110004,Congolese Democratic Coalition
199810110005,Congolese Democratic Coalition
199810110007,Revolutionary Armed Forces of Colombia (FARC)
199810110008,Hezbollah
199810110011,Earth Liberation Front (ELF)
199810110011,Animal Liberation Front (ALF)
199810120001,Movement of Democratic Forces of Casamance
199810120002,Popular Liberation Army (EPL)
199810140002,Hezbollah
199810160006,Moro Islamic Liberation Front (MILF)
199810170001,Kosovo Liberation Army (KLA)
199810170002,Bodo Liberation Tigers (BLT)
199810170005,Abu Sayyaf Group (ASG)
199810180002,National Liberation Army of Colombia (ELN)
199810180003,Kosovo Liberation Army (KLA)
199810180004,Hutu extremists
199810190002,Hamas (Islamic Resistance Movement)
199810190004,Earth Liberation Front (ELF)
199810190004,Animal Liberation Front (ALF)
199810210001,Moro Islamic Liberation Front (MILF)
199810210002,National Liberation Army of Colombia (ELN)
199810220001,Animal Liberation Front (ALF)
199810220002,Kosovo Liberation Army (KLA)
199810230001,Army of God
199810230004,Partisan Sharpshooters
199810250001,Peasant Self-Defense Group (ACCU)
199810250004,Chechen Rebels
199810260002,Israeli settlers
199810260003,Chechen Rebels
199810280003,Party for the Liberation of the Hutu People (PALIPEHUTU)
199810290001,Hamas (Islamic Resistance Movement)
199810290004,Hezbollah
199810290005,Kurdistan Workers' Party (PKK)
199810300001,Kurdistan Workers' Party (PKK)
199810300004,Liberation Tigers of Tamil Eelam (LTTE)
199810300005,Breton Liberation Front (FLB)
199811010001,Revolutionary Armed Forces of Colombia (FARC)
199811020001,Revolutionary Armed Forces of Colombia (FARC)
199811030002,National Union for the Total Independence of Angola (UNITA)
199811050001,Supporters of Colonel Mahmud Khudoyberdiyev
199811050002,Devrimici Halk Kurtulus Cephesi (DHKP/C)
199811060002,Islamic Jihad (Ideological Grouping)
199811060002,Hamas (Islamic Resistance Movement)
199811060003,Kosovo Liberation Army (KLA)
199811070001,National Union for the Total Independence of Angola (UNITA)
199811070002,Bodo Liberation Tigers (BLT)
199811070003,National Union for the Total Independence of Angola (UNITA)
199811080004,Kosovo Liberation Army (KLA)
199811080005,Kosovo Liberation Army (KLA)
199811080006,National Union for the Total Independence of Angola (UNITA)
199811080007,National Union for the Total Independence of Angola (UNITA)
199811080008,Revolutionary United Front (RUF)
199811090001,Revolutionary United Front (RUF)
199811090001,Armed Forces Revolutionary Council (AFRC)
199811100001,Kosovo Liberation Army (KLA)
199811100002,Kosovo Liberation Army (KLA)
199811120002,First of October Antifascist Resistance Group (GRAPO)
199811140001,Revolutionary United Front (RUF)
199811150001,Allied Democratic Forces (ADF)
199811160002,Orange Volunteers (OV)
199811160003,Hezbollah
199811160004,Robin Food
199811170001,Grey Wolves
199811170003,Kosovo Liberation Army (KLA)
199811170004,Kurdistan Workers' Party (PKK)
199811180001,Lord's Resistance Army (LRA)
199811180002,Gunmen
199811200001,Kosovo Liberation Army (KLA)
199811200003,Revolutionary United Front (RUF)
199811200004,Tigers
199811220001,Hutu extremists
199811230003,Hezbollah
199811250002,Lord's Resistance Army (LRA)
199811260001,United Liberation Front of Assam (ULFA)
199811270001,United Liberation Front of Assam (ULFA)
199811270003,United Liberation Front of Assam (ULFA)
199811270004,United Liberation Front of Assam (ULFA)
199811270005,Lord's Resistance Army (LRA)
199811280001,Revolutionary Armed Forces of Colombia (FARC)
199811290001,Liberation Tigers of Tamil Eelam (LTTE)
199811290002,Kurdistan Workers' Party (PKK)
199811300003,Robin Food
199812020004,Tribesmen
199812030001,Revolutionary Armed Forces of Colombia (FARC)
199812030003,Muslim Rebels
199812060001,Liberation Tigers of Tamil Eelam (LTTE)
199812060002,Tribesmen
199812080001,Armed Islamic Group (GIA)
199812100001,Basque Fatherland and Freedom (ETA)
199812160001,Abu Sayyaf Group (ASG)
199812160002,Robin Food
199812180002,Orange Volunteers (OV)
199812200001,United Liberation Front of Assam (ULFA)
199812260001,National Union for the Total Independence of Angola (UNITA)
199812260003,Earth Liberation Front (ELF)
199812270001,Kosovo Liberation Army (KLA)
199812280001,Islamic Jihad Organization (Yemen)
199812290001,Revolutionary Armed Forces of Colombia (FARC)
199812290003,Revolutionary Nuclei
199812290004,Revolutionary Nuclei
199901000001,Right-Wing Death Squad
199901010001,National Union for the Total Independence of Angola (UNITA)
199901020001,Abu Sayyaf Group (ASG)
199901030001,Fight Against Authority
199901030002,Muttahida Qami Movement (MQM)
199901040001,Lashkar-e-Jhangvi
199901050001,Abu Sayyaf Group (ASG)
199901050004,Mahdaviyat
199901060001,Orange Volunteers (OV)
199901060002,Armed Forces Revolutionary Council (AFRC)
199901060003,National Union for the Total Independence of Angola (UNITA)
199901080002,Abu Sayyaf Group (ASG)
199901080006,Tribesmen
199901100001,Basque Fatherland and Freedom (ETA)
199901110001,Children of November
199901110002,Irish Republican Army (IRA)
199901110003,National Liberation Army of Colombia (ELN)
199901120002,Separatists
199901120003,Abu Sayyaf Group (ASG)
199901120004,Abu Sayyaf Group (ASG)
199901120005,Revolutionary United Front (RUF)
199901140001,Continuity Irish Republican Army (CIRA)
199901150001,Kosovo Liberation Army (KLA)
199901190001,Orange Volunteers (OV)
199901190002,National Union for the Total Independence of Angola (UNITA)
199901200001,Matan Abdulle
199901210001,Kosovo Liberation Army (KLA)
199901230001,Vishwa Hindu Parishad (VHP)
199901230002,Liberation Tigers of Tamil Eelam (LTTE)
199901230003,Liberation Tigers of Tamil Eelam (LTTE)
199901230004,Liberation Tigers of Tamil Eelam (LTTE)
199901240001,Revolutionary United Front (RUF)
199901250001,Vishwa Hindu Parishad (VHP)
199901250004,Revolutionary United Front (RUF)
199901260001,National Liberation Army of Colombia (ELN)
199901280001,People Against Gangsterism and Drugs (PAGAD)
199901280002,Red Hand Defenders (RHD)
199901290001,Kosovo Liberation Army (KLA)
199901300001,People Against Gangsterism and Drugs (PAGAD)
199902010001,Hutu extremists
199902020001,Red Hand Defenders (RHD)
199902020002,Chechen Rebels
199902020003,Kosovo Liberation Army (KLA)
199902040001,National Liberation Army of Colombia (ELN)
199902080001,Orange Volunteers (OV)
199902080002,Support of Ocalan-The Hawks of Thrace
199902090002,Kosovo Liberation Army (KLA)
199902090003,Sword of Islam
199902100001,Hutu extremists
199902100002,National Union for the Total Independence of Angola (UNITA)
199902110001,Revolutionary Armed Forces of Colombia (FARC)
199902110002,Ranbir Sena
199902110003,Hamas (Islamic Resistance Movement)
199902130002,Albanian extremists
199902140001,Allied Democratic Forces (ADF)
199902140002,Allied Democratic Forces (ADF)
199902170001,New People's Army (NPA)
199902170002,National Union for the Total Independence of Angola (UNITA)
199902180001,Revolutionary Armed Forces of Colombia (FARC)
199902180002,Sudan People's Liberation Army (SPLA)
199902190001,Kurdistan Workers' Party (PKK)
199902200001,Hutu extremists
199902200002,Kurdistan Workers' Party (PKK)
199902200003,Revolutionary Armed Forces of Colombia (FARC)
199902230001,Albanian extremists
199902230004,Algerian Islamic Extremists
199902240001,Red Hand Defenders (RHD)
199902240002,Ansar Sarallah
199902240003,Hutu extremists
199902240004,Algerian Islamic Extremists
199902250001,Revolutionary Armed Forces of Colombia (FARC)
199902260002,Robin Food
199902280001,National Union for the Total Independence of Angola (UNITA)
199902280002,National Union for the Total Independence of Angola (UNITA)
199902280003,National Union for the Total Independence of Angola (UNITA)
199902280004,National Union for the Total Independence of Angola (UNITA)
199902280005,National Union for the Total Independence of Angola (UNITA)
199902280006,Hutu extremists
199903010002,Kurdistan Workers' Party (PKK)
199903010004,Salafist Group for Preaching and Fighting (GSPC)
199903010005,Salafist Group for Preaching and Fighting (GSPC)
199903020004,Armed Islamic Group (GIA)
199903030001,Mazdoor Kisan Sangram Samiti (MKSS)
199903040001,Kurdistan Workers' Party (PKK)
199903050002,Turkish Communist Party/Marxist (TKP-ML)
199903060001,Breton Liberation Front (FLB)
199903070001,Harkatul Jihad-e-Islami
199903070004,National Liberation Army of Colombia (ELN)
199903070005,National Liberation Army of Colombia (ELN)
199903070007,Khmer Rouge
199903080001,National Liberation Army of Colombia (ELN)
199903080002,The Extraditables
199903080003,The Extraditables
199903080004,The Extraditables
199903080007,Islamist extremists
199903080008,Islamist extremists
199903090001,Irish Republican Army (IRA)
199903090002,Islamist extremists
199903090004,Sudan People's Liberation Army (SPLA)
199903090005,Liberation Tigers of Tamil Eelam (LTTE)
199903090006,Liberation Tigers of Tamil Eelam (LTTE)
199903090007,Liberation Tigers of Tamil Eelam (LTTE)
199903090009,Islamist extremists
199903090011,Neo-Nazi extremists
199903100003,The Front for the Liberation of the Cabinda Enclave - Renewed (FLEC)
199903100004,National Union for the Total Independence of Angola (UNITA)
199903100009,Revolutionary Armed Forces of Colombia (FARC)
199903100010,Revolutionary Armed Forces of Colombia (FARC)
199903100011,Revolutionary Armed Forces of Colombia (FARC)
199903110002,Kurdistan Workers' Party (PKK)
199903110003,Islamist extremists
199903120004,Maoists
199903120005,Irish Republican Army (IRA)
199903130002,Georgian extremists
199903130004,Kurdistan Workers' Party (PKK)
199903130005,Anti-Abortion extremists
199903130006,Kosovo Liberation Army (KLA)
199903130007,Kosovo Liberation Army (KLA)
199903140001,Basque extremists
199903140003,Kurdistan Workers' Party (PKK)
199903150001,Red Hand Defenders (RHD)
199903150004,Liberation Tigers of Tamil Eelam (LTTE)
199903150005,Abu Sayyaf Group (ASG)
199903150006,Abu Sayyaf Group (ASG)
199903160003,Anti-Abortion extremists
199903170002,Ulster Volunteer Force (UVF)
199903170003,Muslim extremists
199903170004,Liberation Tigers of Tamil Eelam (LTTE)
199903180002,Kurdistan Workers' Party (PKK)
199903180006,Maoist Communist Center (MCC)
199903180008,Islamist extremists
199903190001,Liberation Tigers of Tamil Eelam (LTTE)
199903190005,Chechen Rebels
199903190006,Revolutionary Armed Forces of Colombia (FARC)
199903190006,National Liberation Army of Colombia (ELN)
199903190007,Revolutionary Armed Forces of Colombia (FARC)
199903190008,Revolutionary Armed Forces of Colombia (FARC)
199903190009,Revolutionary Armed Forces of Colombia (FARC)
199903190010,Revolutionary Armed Forces of Colombia (FARC)
199903190011,Revolutionary Armed Forces of Colombia (FARC)
199903190012,Islamist extremists
199903190013,Islamist extremists
199903200001,Comite d'Action Viticole
199903200002,Comite d'Action Viticole
199903200003,Comite d'Action Viticole
199903200005,Islamist extremists
199903200006,Islamist extremists
199903200007,Kurdistan Workers' Party (PKK)
199903200008,Kurdistan Workers' Party (PKK)
199903200009,Anti-Environmentalists
199903210001,Kurdistan Workers' Party (PKK)
199903210003,Chechen Rebels
199903210004,Irish Republican Army (IRA)
199903210006,Kurdistan Workers' Party (PKK)
199903210007,Moro National Liberation Front (MNLF)
199903210007,Moro Islamic Liberation Front (MILF)
199903230002,Orange Volunteers (OV)
199903230004,Islamist extremists
199903230005,Revolutionary Armed Forces of Colombia (FARC)
199903230006,National Liberation Army of Colombia (ELN)
199903240001,Orange Volunteers (OV)
199903240003,People's Liberation Army (India)
199903260001,Kurdistan Workers' Party (PKK)
199903260003,November 17 Revolutionary Organization (N17RO)
199903270006,Animal Liberation Front (ALF)
