eventid,attacktype
199805080002,Bombing/Explosion
199805080003,Unarmed Assault
199805090001,Bombing/Explosion
199805090002,Armed Assault
199805090003,Bombing/Explosion
199805090004,Bombing/Explosion
199805100001,Bombing/Explosion
199805100002,Bombing/Explosion
199805100003,Bombing/Explosion
199805100004,Bombing/Explosion
199805110001,Bombing/Explosion
199805110002,Bombing/Explosion
199805110003,Bombing/Explosion
199805110004,Unarmed Assault
199805120001,Armed Assault
199805120002,Armed Assault
199805120003,Bombing/Explosion
199805120004,Assassination
199805130001,Facility/Infrastructure Attack
199805130002,Assassination
199805130003,Bombing/Explosion
199805140001,Bombing/Explosion
199805140001,Assassination
199805140002,Bombing/Explosion
199805160001,Assassination
199805170001,Assassination
199805170005,Bombing/Explosion
199805170006,Bombing/Explosion
199805170007,Armed Assault
199805170007,Bombing/Explosion
199805200001,Bombing/Explosion
199805210001,Bombing/Explosion
199805210007,Bombing/Explosion
199805220001,Bombing/Explosion
199805260001,Bombing/Explosion
199805270001,Bombing/Explosion
199806020001,Bombing/Explosion
199806020002,Bombing/Explosion
199806020003,Bombing/Explosion
199806030001,Bombing/Explosion
199806030002,Bombing/Explosion
199806040001,Bombing/Explosion
199806040002,Bombing/Explosion
199806050001,Bombing/Explosion
199806050002,Bombing/Explosion
199806050003,Bombing/Explosion
199806080001,Bombing/Explosion
199806090001,Bombing/Explosion
199806110001,Bombing/Explosion
199806140001,Bombing/Explosion
199806140002,Armed Assault
199806150001,Bombing/Explosion
199806170001,Armed Assault
199806180001,Bombing/Explosion
199806180002,Bombing/Explosion
199806190001,Armed Assault
199806190002,Bombing/Explosion
199806200001,Armed Assault
199806200001,Hostage Taking (Kidnapping)
199806200002,Bombing/Explosion
199806200003,Bombing/Explosion
199806210001,Armed Assault
199806210002,Bombing/Explosion
199806210004,Facility/Infrastructure Attack
199806210005,Facility/Infrastructure Attack
199806220001,Bombing/Explosion
199806220002,Armed Assault
199806230002,Bombing/Explosion
199806240001,Bombing/Explosion
199806240003,Bombing/Explosion
199806250001,Bombing/Explosion
199806250002,Armed Assault
199806260001,Bombing/Explosion
199806270001,Facility/Infrastructure Attack
199806270002,Bombing/Explosion
199806290001,Bombing/Explosion
199807010001,Facility/Infrastructure Attack
199807010002,Facility/Infrastructure Attack
199807010003,Facility/Infrastructure Attack
199807010004,Facility/Infrastructure Attack
199807010005,Facility/Infrastructure Attack
199807010006,Facility/Infrastructure Attack
199807010007,Facility/Infrastructure Attack
199807010008,Facility/Infrastructure Attack
199807010009,Facility/Infrastructure Attack
199807010010,Bombing/Explosion
199807020001,Armed Assault
199807020002,Armed Assault
199807080001,Hostage Taking (Kidnapping)
199807090001,Bombing/Explosion
199807090002,Assassination
199807090003,Bombing/Explosion
199807100001,Bombing/Explosion
199807100002,Bombing/Explosion
199807110001,Bombing/Explosion
199807110002,Armed Assault
199807120001,Bombing/Explosion
199807120002,Bombing/Explosion
199807120003,Armed Assault
199807120004,Bombing/Explosion
199807120005,Bombing/Explosion
199807130001,Bombing/Explosion
199807130002,Bombing/Explosion
199807130003,Bombing/Explosion
199807130004,Bombing/Explosion
199807130005,Armed Assault
199807130006,Bombing/Explosion
199807140001,Armed Assault
199807150001,Facility/Infrastructure Attack
199807150002,Bombing/Explosion
199807150003,Bombing/Explosion
199807150004,Assassination
199807160001,Facility/Infrastructure Attack
199807160002,Facility/Infrastructure Attack
199807160003,Armed Assault
199807170001,Bombing/Explosion
199807170002,Armed Assault
199807170003,Armed Assault
199807170004,Bombing/Explosion
199807170005,Bombing/Explosion
199807190001,Bombing/Explosion
199807190002,Armed Assault
199807190003,Bombing/Explosion
199807200001,Armed Assault
199807200002,Bombing/Explosion
199807200003,Bombing/Explosion
199807200004,Armed Assault
199807210001,Armed Assault
199807210002,Hostage Taking (Kidnapping)
199807210003,Armed Assault
199807210004,Bombing/Explosion
199807210005,Bombing/Explosion
199807210006,Bombing/Explosion
199807210008,Bombing/Explosion
199807210008,Armed Assault
199807210009,Armed Assault
199807220001,Armed Assault
